step,total_energy,qos_violations,completed_tasks,avg_cpu_util
1,0.0,34,0,0.0
2,0.0,60,0,0.0
3,0.0,92,0,0.0
4,0.0,113,0,0.0
5,0.0,142,0,0.0
6,0.0,165,0,0.0
7,0.0,191,0,0.0
8,0.0,210,0,0.0
9,0.0,237,0,0.0
10,0.0,274,0,0.0
11,0.0,312,0,0.0
12,0.0,349,0,0.0
13,0.0,380,0,0.0
14,0.0,418,0,0.0
15,0.0,444,0,0.0
16,0.0,476,0,0.0
17,0.0,502,0,0.0
18,0.0,530,0,0.0
19,0.0,562,0,0.0
20,0.0,593,0,0.0
21,0.0,613,0,0.0
22,0.0,638,0,0.0
23,0.0,659,0,0.0
24,0.0,684,0,0.0
25,0.0,719,0,0.0
