episode,reward,energy,violation_rate,q_loss,mf_loss,temp,eps
1,-590.0200906780873,9531.793168656443,29.15,0,0,0.4957142857142857,0.4
2,-474.3009034514015,9143.73795858852,28.799999999999997,21148.539603622645,0.04893629215402554,0.49142857142857144,0.3946666666666667
3,-510.0255867870208,9539.135054760847,33.300000000000004,19634.585577636717,0.04581479296460748,0.48714285714285716,0.38933333333333336
4,-497.16470092216736,9344.777106202473,30.049999999999997,19118.55203955078,0.0430060745999217,0.4828571428571429,0.384
5,-454.298546811264,9466.580061904724,27.650000000000002,19761.778565429686,0.04154827194660902,0.4785714285714286,0.3786666666666667
6,-410.016419797238,8982.211984658179,31.15,19772.228138183593,0.04088316324353218,0.4742857142857143,0.37333333333333335
7,-350.0232427420609,8304.54740586839,29.549999999999997,19483.83299267578,0.040540912736207246,0.47000000000000003,0.36800000000000005
8,-408.58644546028427,8698.86550178032,31.35,18986.294463867187,0.04021843759715557,0.46571428571428575,0.3626666666666667
9,-251.43416792267794,8411.819387486086,28.9,18318.98234033203,0.04006126436404884,0.46142857142857147,0.35733333333333334
10,-361.4369935241131,8248.785928629022,31.4,18192.23828222656,0.039789603896439076,0.4571428571428572,0.35200000000000004
11,-334.29266446362936,8478.919152141878,30.599999999999998,17999.853947265627,0.039548264803364874,0.4528571428571429,0.3466666666666667
12,-282.8689866616802,8110.0931428523045,30.15,17740.87458642578,0.03924866255559027,0.4485714285714286,0.3413333333333333
13,-204.28674146648018,8916.160826165977,27.400000000000002,17569.363819724436,0.041055073837193444,0.44428571428571434,0.336
14,-190.00329849409053,8102.387075023417,27.85,16831.986476201597,0.04559387323864992,0.44000000000000006,0.33066666666666666
15,-195.71569508285862,7863.310674441761,27.0,16377.301539707645,0.04528643366507286,0.4357142857142858,0.32533333333333336
16,-157.14692787354653,7705.480061676039,26.700000000000003,16020.950947371774,0.04493954485633235,0.4314285714285715,0.32000000000000006
17,-160.00281348234793,8081.088736728989,26.25,15633.150634942538,0.04457385181696807,0.4271428571428572,0.31466666666666665
18,-131.42883132988123,8136.010577548911,24.95,15241.85071243065,0.04421561747825376,0.42285714285714293,0.30933333333333335
19,-104.28625651031476,8094.35207265839,23.799999999999997,15001.771675397347,0.04388006731039948,0.41857142857142865,0.30400000000000005
20,-155.71857952532838,7590.718179786526,25.75,14978.975620951629,0.0436290763138573,0.41428571428571437,0.29866666666666664
21,-81.42750132861443,7111.726077238927,24.55,14727.012809569133,0.04330051070178188,0.4100000000000001,0.2933333333333334
22,-111.42807551143656,7736.0308652762415,26.150000000000002,14541.53648208397,0.042990930797757156,0.4057142857142858,0.288
23,-37.141688850240556,7249.430458272195,22.5,14185.277121428706,0.04271431500857003,0.4014285714285715,0.2826666666666667
24,-74.28469329549544,7476.90614863821,24.25,14081.146714657401,0.04242837515430174,0.39714285714285724,0.2773333333333334
25,-91.42785734146067,7442.057897952237,24.8,14042.832872591618,0.04218442787906686,0.39285714285714296,0.27199999999999996
26,-44.28507939238531,7406.993779303234,23.9,13890.783501415897,0.041931895469877745,0.3885714285714287,0.2666666666666667
27,-67.14211405584301,7228.474233681978,24.85,13740.969949267106,0.04172031509055608,0.3842857142857144,0.26133333333333336
28,-105.71352757660256,7280.443029414052,26.25,13653.486173944888,0.041450786506892115,0.3800000000000001,0.256
29,-81.42776376553999,7155.86157694808,24.349999999999998,13685.617316145597,0.04110750496513458,0.37571428571428583,0.2506666666666667
30,-57.141744413343595,7248.483796286585,23.75,13552.13837553015,0.04093955557991341,0.37142857142857155,0.24533333333333332
31,-48.57048689506512,7287.769464064555,24.95,13310.70360102999,0.040687722521091714,0.36714285714285727,0.24
32,-51.42782503708282,7244.352004337933,24.55,13223.596183681027,0.040487010307286096,0.362857142857143,0.2346666666666667
33,-44.28455914053961,6429.797339003602,25.1,13174.784841926317,0.04025769402421471,0.3585714285714287,0.2293333333333333
34,-47.14168440901782,7164.719829905694,24.95,13027.478389684704,0.04005820352746093,0.3542857142857144,0.22400000000000003
35,-54.28489617181048,6847.7415477389495,23.65,12992.953579660314,0.03994248196086734,0.35000000000000014,0.21866666666666668
36,-41.42753749529362,7018.275508000887,24.25,12810.355924129026,0.03972147170382277,0.34571428571428586,0.21333333333333335
37,-32.85621828865928,6506.591771695418,24.45,12790.186659093295,0.039532215684508355,0.3414285714285716,0.20800000000000002
38,-39.998998686044125,6692.784152523012,24.4,12654.169413300298,0.03940659912150119,0.3371428571428573,0.20266666666666666
39,-38.57034258273631,6881.969994273311,23.599999999999998,12693.690477524173,0.039197187816751175,0.332857142857143,0.19733333333333333
40,-39.998925507221905,6887.543421926944,23.849999999999998,12544.962460518806,0.03912215612486797,0.32857142857142874,0.192
41,-18.570474360409833,6670.862410251322,23.599999999999998,12362.213643443527,0.03896991048404128,0.32428571428571445,0.18666666666666668
42,-24.284925311355245,6458.05700866538,24.95,12329.613007675393,0.03889010246609144,0.3200000000000002,0.18133333333333335
43,-64.28469970203643,6686.269014445059,24.9,12289.949325937465,0.03869660646803137,0.3157142857142859,0.176
44,-28.570488638592128,6776.529232899397,22.900000000000002,12265.375772629153,0.0385656348515104,0.3114285714285716,0.17066666666666666
45,-22.85581188847216,6585.583545350045,24.45,12301.968771826703,0.038514323341817674,0.30714285714285733,0.16533333333333333
